Timestamp,Age,Sex,Education_Level,Working_Experience,Training_Gap_PEPMIS,Limited_Access_ICT,PEPMIS_System_Failures,Workload_Time_Barrier,Limited_Tech_Support,Low_Motivation_PEPMIS,Communication_Gap_PEPMIS
09/11/2025 21:11,25–34 years,Male,Master,Less than 5 years,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree
09/11/2025 21:24,35–44 years,Male,Bachelor,11–15 years,4 = Agree,2 = Disagree,4 = Agree,1 = Strongly Disagree,2 = Disagree,4 = Agree,3 = Neutral
09/11/2025 21:35,25–34 years,Male,Bachelor,Less than 5 years,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,4 = Agree
09/11/2025 22:18,35–44 years,Male,Master,Above 15 years,4 = Agree,5 = Strongly Agree,1 = Strongly Disagree,5 = Strongly Agree,4 = Agree,4 = Agree,4 = Agree
09/11/2025 22:20,35–44 years,Male,Bachelor,5–10 years,5 = Strongly Agree,4 = Agree,2 = Disagree,2 = Disagree,2 = Disagree,2 = Disagree,5 = Strongly Agree
09/11/2025 22:21,35–44 years,Male,Master,Above 15 years,4 = Agree,4 = Agree,4 = Agree,2 = Disagree,4 = Agree,4 = Agree,4 = Agree
09/11/2025 22:27,35–44 years,Female,Bachelor,5–10 years,4 = Agree,4 = Agree,5 = Strongly Agree,4 = Agree,5 = Strongly Agree,4 = Agree,4 = Agree
09/11/2025 23:06,35–44 years,Male,Bachelor,5–10 years,5 = Strongly Agree,5 = Strongly Agree,3 = Neutral,4 = Agree,4 = Agree,4 = Agree,5 = Strongly Agree
10/11/2025 00:18,25–34 years,Male,Bachelor,5–10 years,2 = Disagree,4 = Agree,4 = Agree,3 = Neutral,3 = Neutral,4 = Agree,3 = Neutral
10/11/2025 06:23,35–44 years,Male,Master,11–15 years,4 = Agree,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree
10/11/2025 06:36,35–44 years,Female,Bachelor,11–15 years,4 = Agree,4 = Agree,3 = Neutral,3 = Neutral,2 = Disagree,3 = Neutral,3 = Neutral
10/11/2025 06:46,35–44 years,Male,Diploma,11–15 years,5 = Strongly Agree,2 = Disagree,2 = Disagree,4 = Agree,3 = Neutral,5 = Strongly Agree,2 = Disagree
10/11/2025 06:48,25–34 years,Female,Bachelor,5–10 years,4 = Agree,3 = Neutral,5 = Strongly Agree,4 = Agree,4 = Agree,3 = Neutral,2 = Disagree
10/11/2025 07:06,35–44 years,Male,Bachelor,11–15 years,4 = Agree,5 = Strongly Agree,4 = Agree,5 = Strongly Agree,3 = Neutral,4 = Agree,5 = Strongly Agree
10/11/2025 07:14,35–44 years,Female,Master,11–15 years,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,1 = Strongly Disagree,3 = Neutral,5 = Strongly Agree,2 = Disagree
10/11/2025 07:45,35–44 years,Female,Diploma,Less than 5 years,4 = Agree,5 = Strongly Agree,4 = Agree,5 = Strongly Agree,4 = Agree,4 = Agree,3 = Neutral
10/11/2025 08:11,25–34 years,Female,Bachelor,5–10 years,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,4 = Agree
10/11/2025 09:59,35–44 years,Male,Bachelor,5–10 years,4 = Agree,4 = Agree,4 = Agree,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,4 = Agree
10/11/2025 10:11,25–34 years,Male,Bachelor,5–10 years,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,5 = Strongly Agree,4 = Agree,4 = Agree,4 = Agree
10/11/2025 16:59,25–34 years,Male,Bachelor,Less than 5 years,4 = Agree,5 = Strongly Agree,4 = Agree,2 = Disagree,4 = Agree,2 = Disagree,5 = Strongly Agree
10/11/2025 18:41,35–44 years,Female,Bachelor,11–15 years,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree
11/11/2025 09:58,25–34 years,Male,Master,Less than 5 years,1 = Strongly Disagree,1 = Strongly Disagree,1 = Strongly Disagree,1 = Strongly Disagree,1 = Strongly Disagree,2 = Disagree,2 = Disagree
11/11/2025 20:10,35–44 years,Male,Bachelor,5–10 years,1 = Strongly Disagree,1 = Strongly Disagree,1 = Strongly Disagree,1 = Strongly Disagree,1 = Strongly Disagree,1 = Strongly Disagree,1 = Strongly Disagree
11/11/2025 21:05,35–44 years,Female,Bachelor,11–15 years,4 = Agree,4 = Agree,5 = Strongly Agree,5 = Strongly Agree,3 = Neutral,5 = Strongly Agree,4 = Agree
11/11/2025 22:52,35–44 years,Male,Bachelor,11–15 years,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree
15/11/2025 13:11,35–44 years,Female,Bachelor,5–10 years,3 = Neutral,3 = Neutral,1 = Strongly Disagree,3 = Neutral,3 = Neutral,3 = Neutral,2 = Disagree
15/11/2025 13:13,35–44 years,Female,Bachelor,5–10 years,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree
